北海道選挙管理委員会事務局

開票速報

衆議院比例代表選挙

【令和08年02月08日】

衆議院議員総選挙　比例代表　名簿届出政党等別得票数

全道計	確定
区分	確定	1	2	3	4	
日本共産党	国民民主党	中道改革連合	日本維新の会




中央区	*	6,064	12,849	24,037	5,883	
北区	*	7,907	13,202	28,919	6,804	
   北区第１	*	198	439	656	169	
   北区第２	*	7,709	12,763	28,263	6,635	
東区	*	8,130	11,864	24,507	6,290	
白石区	*	5,588	10,327	21,228	4,342	
   白石区第１	*	5,100	9,545	19,067	3,992	
   白石区第２	*	488	782	2,161	350	
厚別区	*	3,739	6,455	17,427	2,950	
豊平区	*	5,454	12,196	23,264	5,192	
清田区	*	2,743	5,099	13,894	2,438	
南区	*	3,831	6,001	16,137	2,772	
西区	*	5,793	11,875	24,432	4,942	
   西区第１	*	3,627	7,423	15,383	3,147	
   西区第２	*	2,166	4,452	9,049	1,795	
手稲区	*	3,823	6,097	18,282	2,759	
札幌市	*	53,072	95,965	212,127	44,372	







函館市	*	5,926	8,581	33,013	3,650	
小樽市	*	4,238	3,287	14,355	1,477	
旭川市	*	8,326	11,789	37,311	5,244	
室蘭市	*	1,867	3,074	10,717	1,105	
釧路市	*	3,990	5,822	19,287	2,367	
帯広市	*	4,028	6,736	18,899	2,783	
北見市	*	2,729	4,827	13,166	1,938	
夕張市	*	221	216	1,228	77	
岩見沢市	*	2,072	3,095	10,080	1,246	
網走市	*	952	1,303	4,433	530	
留萌市	*	295	642	2,355	235	
苫小牧市	*	4,934	7,054	19,171	2,675	
稚内市	*	656	1,113	3,422	467	
美唄市	*	495	649	2,607	287	
芦別市	*	293	389	1,908	142	
江別市	*	3,408	5,670	15,691	2,357	
赤平市	*	236	253	1,457	116	
紋別市	*	342	756	2,208	310	
士別市	*	401	721	2,624	241	
名寄市	*	544	1,083	2,793	340	
三笠市	*	143	264	1,264	112	
根室市	*	611	744	1,858	316	
千歳市	*	1,239	4,043	7,943	1,833	
滝川市	*	803	1,503	4,773	557	
砂川市	*	328	658	2,810	262	
歌志内市	*	85	107	518	28	
深川市	*	570	731	2,787	290	
富良野市	*	456	757	2,223	326	
登別市	*	1,039	1,628	6,163	618	
恵庭市	*	1,246	3,106	7,268	1,407	
伊達市	*	1,043	1,187	4,299	510	
北広島市	*	1,724	2,487	7,813	1,183	
石狩市	*	1,535	1,937	6,670	944	
北斗市	*	849	1,505	5,408	616	
市 計	*	110,696	183,682	490,649	80,961	







南幌町	*	209	387	1,013	136	
奈井江町	*	144	202	781	84	
上砂川町	*	78	90	409	25	
由仁町	*	94	219	777	77	
長沼町	*	356	450	1,122	163	
栗山町	*	338	469	1,648	209	
月形町	*	67	149	430	66	
浦臼町	*	39	68	265	16	
新十津川町	*	137	296	926	93	
妹背牛町	*	45	130	381	34	
秩父別町	*	50	91	318	37	
雨竜町	*	42	91	352	33	
北竜町	*	35	109	310	32	
沼田町	*	98	160	418	47	
空知総合振興局 計	*	1,732	2,911	9,150	1,052	







当別町	*	538	658	1,846	286	
新篠津村	*	75	93	231	35	
石狩振興局 計	*	613	751	2,077	321	







島牧村	*	27	42	191	22	
寿都町	*	117	85	281	25	
黒松内町	*	139	77	344	37	
蘭越町	*	163	166	622	75	
ニセコ町	*	146	196	545	80	
真狩村	*	43	64	271	36	
留寿都村	*	34	61	152	30	
喜茂別町	*	38	53	312	19	
京極町	*	45	109	368	35	
倶知安町	*	310	585	1,348	234	
共和町	*	71	318	660	77	
岩内町	*	281	411	1,420	151	
泊村	*	33	86	206	17	
神恵内村	*	7	18	128	6	
積丹町	*	36	52	253	25	
古平町	*	95	77	261	51	
仁木町	*	133	134	389	30	
余市町	*	531	588	2,382	192	
赤井川村	*	45	49	142	14	
後志総合振興局 計	*	2,294	3,171	10,275	1,156	







豊浦町	*	114	101	368	55	
壮瞥町	*	46	87	309	43	
白老町	*	478	440	2,331	211	
厚真町	*	154	222	540	65	
洞爺湖町	*	429	243	1,076	150	
安平町	*	254	300	972	120	
むかわ町	*	317	328	1,027	86	
胆振総合振興局 計	*	1,792	1,721	6,623	730	







日高町	*	311	458	1,324	173	
平取町	*	199	210	591	64	
新冠町	*	135	224	611	84	
浦河町	*	317	488	1,484	172	
様似町	*	113	132	579	67	
えりも町	*	98	144	505	63	
新ひだか町	*	611	807	2,447	354	
日高振興局 計	*	1,784	2,463	7,541	977	







松前町	*	85	161	920	60	
福島町	*	60	96	512	34	
知内町	*	61	157	548	30	
木古内町	*	38	106	587	53	
七飯町	*	659	1,026	4,044	416	
鹿部町	*	69	113	429	50	
森町	*	480	389	1,719	160	
八雲町	*	306	486	2,308	162	
長万部町	*	71	153	863	44	
渡島総合振興局 計	*	1,829	2,687	11,930	1,009	







江差町	*	233	231	911	70	
上ノ国町	*	152	115	475	28	
厚沢部町	*	105	130	470	25	
乙部町	*	223	97	398	30	
奥尻町	*	51	84	308	25	
今金町	*	107	210	753	47	
せたな町	*	223	236	1,146	73	
檜山振興局 計	*	1,094	1,103	4,461	298	







鷹栖町	*	148	324	851	109	
東神楽町	*	227	407	1,206	184	
当麻町	*	179	213	784	111	
比布町	*	139	142	536	56	
愛別町	*	49	91	377	35	
上川町	*	104	124	603	51	
東川町	*	345	376	966	149	
美瑛町	*	318	450	1,190	168	
上富良野町	*	183	325	749	158	
中富良野町	*	124	217	467	84	
南富良野町	*	50	109	348	42	
占冠村	*	20	45	111	14	
和寒町	*	109	153	517	40	
剣淵町	*	102	139	440	40	
下川町	*	58	140	410	50	
美深町	*	90	165	532	62	
音威子府村	*	20	41	123	6	
中川町	*	17	58	231	17	
幌加内町	*	49	67	150	10	
上川総合振興局 計	*	2,331	3,586	10,591	1,386	







増毛町	*	89	130	496	64	
小平町	*	42	112	387	40	
苫前町	*	40	135	407	32	
羽幌町	*	68	245	928	79	
初山別村	*	12	41	168	9	
遠別町	*	28	87	342	30	
天塩町	*	35	107	371	32	
留萌振興局 計	*	314	857	3,099	286	







猿払村	*	48	119	279	42	
浜頓別町	*	102	124	476	48	
中頓別町	*	47	67	205	22	
枝幸町	*	117	270	890	95	
豊富町	*	124	163	452	45	
礼文町	*	34	93	258	38	
利尻町	*	41	85	311	39	
利尻富士町	*	39	87	233	26	
幌延町	*	55	109	175	37	
宗谷総合振興局 計	*	607	1,117	3,279	392	







美幌町	*	332	664	1,766	295	
津別町	*	138	163	609	57	
斜里町	*	192	408	1,371	158	
清里町	*	59	160	543	52	
小清水町	*	167	216	558	72	
訓子府町	*	148	173	596	69	
置戸町	*	60	132	441	42	
佐呂間町	*	89	189	551	65	
遠軽町	*	413	680	2,390	267	
湧別町	*	128	337	988	137	
滝上町	*	31	109	318	32	
興部町	*	46	151	404	46	
西興部村	*	27	67	106	17	
雄武町	*	47	161	364	58	
大空町	*	130	305	817	102	
オホーツク総合振興局 計	*	2,007	3,915	11,822	1,469	







音更町	*	1,183	1,864	5,493	709	
士幌町	*	194	236	822	70	
上士幌町	*	149	241	657	66	
鹿追町	*	109	206	652	68	
新得町	*	147	261	880	73	
清水町	*	241	414	1,222	152	
芽室町	*	585	739	2,199	282	
中札内村	*	90	199	620	70	
更別村	*	85	144	438	45	
大樹町	*	89	261	663	81	
広尾町	*	247	210	755	78	
幕別町	*	959	1,057	3,642	408	
池田町	*	158	255	1,096	78	
豊頃町	*	60	124	445	40	
本別町	*	121	227	1,024	103	
足寄町	*	119	247	1,305	66	
陸別町	*	65	116	344	26	
浦幌町	*	89	184	743	65	
十勝総合振興局 計	*	4,690	6,985	23,000	2,480	







釧路町	*	482	707	2,072	274	
厚岸町	*	219	252	844	105	
浜中町	*	91	204	580	77	
標茶町	*	297	243	958	93	
弟子屈町	*	123	274	837	94	
鶴居村	*	90	101	277	46	
白糠町	*	167	240	997	85	
釧路総合振興局 計	*	1,469	2,021	6,565	774	







別海町	*	360	561	1,333	184	
中標津町	*	337	937	2,441	356	
標津町	*	76	212	566	68	
羅臼町	*	59	170	487	67	
根室振興局 計	*	832	1,880	4,827	675	







町 村 計	*	23,388	35,168	115,240	13,005	







合 計	*	134,084	218,850	605,889	93,966	
全道計	確定
区分	確定	5	6	7	8	
社会民主党	参政党	自由民主党	れいわ新選組




中央区	*	1,580	8,510	40,847	3,404	
北区	*	1,724	9,528	42,361	3,715	
   北区第１	*	54	167	1,211	81	
   北区第２	*	1,670	9,361	41,150	3,634	
東区	*	1,343	8,630	38,911	3,380	
白石区	*	1,080	7,742	30,563	3,053	
   白石区第１	*	988	7,112	27,948	2,786	
   白石区第２	*	92	630	2,615	267	
厚別区	*	955	3,947	21,098	1,779	
豊平区	*	1,316	8,154	36,843	3,134	
清田区	*	594	4,050	18,289	1,534	
南区	*	895	4,690	24,464	1,933	
西区	*	1,342	7,680	36,317	3,089	
   西区第１	*	863	4,764	22,659	1,960	
   西区第２	*	479	2,916	13,658	1,129	
手稲区	*	876	4,665	23,198	1,873	
札幌市	*	11,705	67,596	312,891	26,894	







函館市	*	1,301	6,602	43,861	3,662	
小樽市	*	581	2,696	15,715	1,447	
旭川市	*	1,840	8,558	53,197	4,996	
室蘭市	*	546	2,414	11,616	1,156	
釧路市	*	1,012	4,490	28,584	2,593	
帯広市	*	932	5,515	31,803	2,537	
北見市	*	698	3,807	20,032	1,818	
夕張市	*	73	155	1,047	83	
岩見沢市	*	555	2,106	12,621	1,246	
網走市	*	208	909	6,439	539	
留萌市	*	93	492	3,645	271	
苫小牧市	*	840	6,038	27,100	2,558	
稚内市	*	158	899	5,923	474	
美唄市	*	122	501	3,487	348	
芦別市	*	85	258	2,144	189	
江別市	*	913	4,091	20,649	1,873	
赤平市	*	69	217	1,397	137	
紋別市	*	112	536	3,840	299	
士別市	*	122	471	3,588	247	
名寄市	*	243	646	5,530	341	
三笠市	*	87	173	1,230	137	
根室市	*	110	571	5,141	379	
千歳市	*	401	3,622	20,593	1,209	
滝川市	*	258	1,009	6,247	539	
砂川市	*	137	420	2,725	274	
歌志内市	*	32	55	418	52	
深川市	*	133	495	3,280	249	
富良野市	*	136	615	3,841	322	
登別市	*	311	1,446	6,903	616	
恵庭市	*	392	2,590	15,545	907	
伊達市	*	236	1,045	5,156	504	
北広島市	*	488	1,934	9,995	889	
石狩市	*	297	1,825	8,924	795	
